"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01023099999","2018-01-24","69.055758","18.540356","76.8","BARDUFOSS, NO","   0.2","24","  -7.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  4.9","24"," 12.0","999.9","  14.2"," "," -19.3"," "," 0.00","G"," 15.4","000000"
"01023099999","2018-01-25","69.055758","18.540356","76.8","BARDUFOSS, NO","  13.7","24","   6.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.1","24"," 11.7","999.9","  21.9"," ","   2.1","*"," 0.00","F"," 15.4","000000"
"01023099999","2018-01-26","69.055758","18.540356","76.8","BARDUFOSS, NO","   9.2","24","   6.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.8","24","  2.9","999.9","  14.9"," ","   0.5","*"," 0.00","H"," 15.4","101000"
"01023099999","2018-01-27","69.055758","18.540356","76.8","BARDUFOSS, NO","  -8.6","24"," -12.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.7","24","  2.9","999.9","   1.4","*"," -15.3","*"," 0.00","G"," 15.7","001000"
"01023099999","2018-01-28","69.055758","18.540356","76.8","BARDUFOSS, NO"," -12.8","24"," -17.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.6","24","  1.9","999.9","  -7.6"," "," -16.1"," "," 0.00","G"," 15.7","001000"
"01023099999","2018-01-29","69.055758","18.540356","76.8","BARDUFOSS, NO","  -5.3","24","  -9.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.6","24","  2.9","999.9","   7.0"," "," -16.2"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-01-30","69.055758","18.540356","76.8","BARDUFOSS, NO","   4.1","24","   1.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.4","24","  1.9","999.9","   9.0"," ","  -4.0","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-01-31","69.055758","18.540356","76.8","BARDUFOSS, NO","  -6.7","24"," -10.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.5","24","  1.9","999.9","   2.7"," ","  -9.4","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-01","69.055758","18.540356","76.8","BARDUFOSS, NO","   6.5","24","   0.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.6","24"," 11.1","999.9","  19.4","*","  -9.0"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-02","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.4","24"," -13.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.5","24","  4.1","999.9","  -2.9","*"," -16.6","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-03","69.055758","18.540356","76.8","BARDUFOSS, NO"," -13.3","24"," -17.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.9","24","  2.9","999.9","  -4.7"," "," -18.4","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-04","69.055758","18.540356","76.8","BARDUFOSS, NO","  -7.6","24"," -11.7","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.6","24","  2.9","999.9","   5.0","*"," -17.0"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-05","69.055758","18.540356","76.8","BARDUFOSS, NO","  22.8","24","  16.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.5","24","  9.9"," 15.9","  41.7"," ","  -2.4"," "," 0.00","G"," 15.7","011000"
"01023099999","2018-02-06","69.055758","18.540356","76.8","BARDUFOSS, NO","  22.0","24","  16.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.7","24","  8.0","999.9","  34.7","*","  -0.4","*"," 0.07","G"," 15.0","001000"
"01023099999","2018-02-07","69.055758","18.540356","76.8","BARDUFOSS, NO","   9.4","24","   1.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.8","24","  5.8","999.9","  18.0"," ","  -2.9"," "," 0.00","G"," 15.0","001000"
"01023099999","2018-02-08","69.055758","18.540356","76.8","BARDUFOSS, NO","  15.0","24","   8.4","24","9999.9"," 0","999.9"," 0","  5.8","24","  2.3","24","  8.0","999.9","  23.5"," ","   3.2","*"," 0.04","G"," 16.1","001000"
"01023099999","2018-02-09","69.055758","18.540356","76.8","BARDUFOSS, NO","  17.2","24","   9.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.4","24","  9.7","999.9","  26.6","*","   7.9","*"," 0.00","G"," 15.0","000000"
"01023099999","2018-02-10","69.055758","18.540356","76.8","BARDUFOSS, NO","  25.2","24","  20.1","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.3","24","  8.0","999.9","  33.8","*","  17.4","*"," 0.00","G"," 15.0","000000"
"01023099999","2018-02-11","69.055758","18.540356","76.8","BARDUFOSS, NO","  13.2","24","   9.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.7","24","  7.0","999.9","  28.9","*","   1.4","*"," 0.00","G"," 15.0","001000"
"01023099999","2018-02-12","69.055758","18.540356","76.8","BARDUFOSS, NO","   4.4","24","   0.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.6","24","  9.9","999.9","  21.2","*","  -3.5"," "," 0.00","G"," 15.0","000000"
"01023099999","2018-02-13","69.055758","18.540356","76.8","BARDUFOSS, NO","  19.6","24","  11.0","24","9999.9"," 0","999.9"," 0","  6.1","24","  4.8","24","  9.7","999.9","  26.6","*","   0.7"," "," 0.00","G"," 15.0","001000"
"01023099999","2018-02-14","69.055758","18.540356","76.8","BARDUFOSS, NO","   5.6","24","   2.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.7","24","  8.9","999.9","  29.3"," ","  -4.0","*"," 0.02","G"," 15.4","000000"
"01023099999","2018-02-15","69.055758","18.540356","76.8","BARDUFOSS, NO","   0.3","24","  -3.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.1","24","  2.9","999.9","  13.8"," ","  -9.4","*"," 0.00","G"," 15.4","000000"
"01023099999","2018-02-16","69.055758","18.540356","76.8","BARDUFOSS, NO","  -3.7","24","  -7.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.7","24","  2.9","999.9","   7.5"," "," -13.0","*"," 0.00","G"," 15.4","001000"
"01023099999","2018-02-17","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.1","24"," -13.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.8","24","  2.9","999.9","   4.8"," "," -14.8","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-18","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.5","24"," -14.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.9","24","  2.9","999.9","   5.7"," "," -18.6"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-19","69.055758","18.540356","76.8","BARDUFOSS, NO","  -5.0","24","  -8.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.3","24","  3.9","999.9","   8.8"," "," -13.0"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-20","69.055758","18.540356","76.8","BARDUFOSS, NO","  -5.5","24","  -9.5","24","9999.9"," 0","999.9"," 0","  6.2","23","  1.7","24","  3.9","999.9","   9.9"," "," -13.0","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-21","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.9","24"," -14.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.9","24","  2.9","999.9","   8.1"," "," -18.4","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-02-22","69.055758","18.540356","76.8","BARDUFOSS, NO","  -8.9","24"," -13.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.0","24","  4.1","999.9","   8.6"," "," -16.8"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-23","69.055758","18.540356","76.8","BARDUFOSS, NO","   0.0","24","  -6.9","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.2","24"," 13.0","999.9","  19.6"," "," -16.6"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-02-24","69.055758","18.540356","76.8","BARDUFOSS, NO","   1.0","24","  -7.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.8","24","  8.0","999.9","  16.5"," "," -15.3"," "," 0.00","G"," 15.7","010000"
"01023099999","2018-02-25","69.055758","18.540356","76.8","BARDUFOSS, NO","  -7.4","24"," -13.7","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.0","24","  4.1","999.9","  13.5"," "," -18.4","*"," 0.00","G"," 15.4","000000"
"01023099999","2018-02-26","69.055758","18.540356","76.8","BARDUFOSS, NO","  -7.3","24"," -13.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.8","24","  3.9","999.9","  12.6"," "," -20.9"," "," 0.00","G"," 15.4","000000"
"01023099999","2018-02-27","69.055758","18.540356","76.8","BARDUFOSS, NO","  -0.3","24","  -4.9","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.8","24","  3.9","999.9","  17.6","*"," -13.0","*"," 0.00","G"," 15.4","000000"
"01023099999","2018-02-28","69.055758","18.540356","76.8","BARDUFOSS, NO","  27.3","24","  19.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.2","24"," 12.0"," 22.9","  32.7","*","  10.4","*"," 0.00","G"," 15.0","001000"
"01023099999","2018-03-01","69.055758","18.540356","76.8","BARDUFOSS, NO","  31.3","24","  22.8","24","9999.9"," 0","999.9"," 0","  6.1","24","  7.0","24","  9.9","999.9","  33.8","*","  24.8","*"," 0.00","G"," 14.2","001000"
"01023099999","2018-03-02","69.055758","18.540356","76.8","BARDUFOSS, NO","  24.7","24","  22.3","24","9999.9"," 0","999.9"," 0","  5.3","24","  0.9","24","  7.8","999.9","  28.6","*","  20.1"," "," 0.00","G"," 14.6","001000"
"01023099999","2018-03-03","69.055758","18.540356","76.8","BARDUFOSS, NO","  20.2","24","  14.9","24","9999.9"," 0","999.9"," 0","  5.4","24","  2.5","24","  8.0","999.9","  23.9"," ","   6.8","*"," 0.08","G"," 17.3","001000"
"01023099999","2018-03-04","69.055758","18.540356","76.8","BARDUFOSS, NO","   7.4","24","   0.6","24","1016.0"," 5","005.8"," 5","  8.0","21","  3.0","24","  9.9","999.9","  22.8"," ","  -9.4","*"," 0.02","G"," 17.7","000000"
"01023099999","2018-03-05","69.055758","18.540356","76.8","BARDUFOSS, NO","  -0.8","24","  -7.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.8","24","  7.0","999.9","  21.2","*"," -15.3","*"," 0.00","G"," 16.5","000000"
"01023099999","2018-03-06","69.055758","18.540356","76.8","BARDUFOSS, NO","   2.7","24","  -7.5","24","9999.9"," 0","999.9"," 0","  6.2","24","  4.2","24"," 15.0","999.9","  19.8"," "," -19.3"," "," 0.00","G"," 16.1","000000"
"01023099999","2018-03-07","69.055758","18.540356","76.8","BARDUFOSS, NO","  14.1","24","  -0.7","24","9999.9"," 0","999.9"," 0","  6.2","24","  8.5","24"," 15.0"," 20.0","  21.2"," ","   1.4","*"," 0.00","G"," 16.1","000000"
"01023099999","2018-03-08","69.055758","18.540356","76.8","BARDUFOSS, NO","  -0.4","24","  -8.7","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.1","24","  8.9","999.9","  16.3"," "," -15.2"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-03-09","69.055758","18.540356","76.8","BARDUFOSS, NO","  -1.6","24","  -9.0","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.3","24","  4.1","999.9","  21.4"," "," -17.3"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-03-10","69.055758","18.540356","76.8","BARDUFOSS, NO","   4.1","24","  -1.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.1","24","  4.1","999.9","  19.4"," "," -12.5"," "," 0.00","G"," 15.7","001000"
"01023099999","2018-03-11","69.055758","18.540356","76.8","BARDUFOSS, NO","  10.7","24","   3.9","24","9999.9"," 0","999.9"," 0","  6.0","24","  1.6","24","  5.8","999.9","  24.8","*","  -6.3"," "," 0.00","G"," 15.7","001000"
"01023099999","2018-03-12","69.055758","18.540356","76.8","BARDUFOSS, NO","  14.3","24","   8.5","24","9999.9"," 0","999.9"," 0","  6.1","24","  1.8","24","  7.0","999.9","  32.0","*","  -2.2","*"," 0.04","G"," 16.1","001000"
"01023099999","2018-03-13","69.055758","18.540356","76.8","BARDUFOSS, NO","   8.7","24","   1.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.1","24"," 12.0"," 22.0","  26.6","*","  -7.6"," "," 0.00","G"," 15.7","001000"
"01023099999","2018-03-14","69.055758","18.540356","76.8","BARDUFOSS, NO","   4.1","24","  -2.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.1","24","  3.9","999.9","  25.3"," "," -11.0"," "," 0.00","G"," 15.7","000000"
"01023099999","2018-03-15","69.055758","18.540356","76.8","BARDUFOSS, NO","   3.1","24","  -3.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  1.1","24","  3.9","999.9","  23.0","*"," -11.2","*"," 0.00","G"," 15.7","001000"
"01023099999","2018-03-16","69.055758","18.540356","76.8","BARDUFOSS, NO","   5.7","24","  -3.5","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.8","24","  2.9","999.9","  23.0"," "," -16.6","*"," 0.00","G"," 15.7","000000"
"01023099999","2018-03-17","69.055758","18.540356","76.8","BARDUFOSS, NO","  26.0","24","  18.7","24","9999.9"," 0","999.9"," 0","  6.0","24","  6.4","24"," 12.0"," 24.1","  35.6","*","  10.2"," "," 0.00","G"," 15.7","011000"
"01023099999","2018-03-18","69.055758","18.540356","76.8","BARDUFOSS, NO","  27.4","24","  24.7","24","9999.9"," 0","999.9"," 0","  3.1","24"," 10.3","24"," 19.0"," 27.0","  33.8","*","  24.8","*"," 0.25","G"," 16.5","011000"
